,date,home,score,away_team
466,13-11-2022,Montpellier,1 - 1,Reims
467,29-12-2022,Reims,3 - 1,Rennes
468,02-01-2023,Lille,1 - 1,Reims
469,11-01-2023,Ajaccio,0 - 1,Reims
470,15-01-2023,Reims,0 - 0,Nice
471,29-01-2023,Paris SG,1 - 1,Reims
472,01-02-2023,Reims,4 - 2,Lorient
473,05-02-2023,Auxerre,0 - 0,Reims
474,12-02-2023,Reims,4 - 0,Troyes
475,18-02-2023,Nice,0 - 0,Reims
476,26-02-2023,Reims,3 - 0,Toulouse
477,05-03-2023,Reims,1 - 0,Ajaccio
478,12-03-2023,Monaco,0 - 1,Reims
479,19-03-2023,Reims,1 - 2,Marseille
480,02-04-2023,Nantes,0 - 3,Reims
481,09-04-2023,Reims,? - ?,Brest
482,07-08-2022,Rennes,0 - 1,Lorient
483,13-08-2022,Monaco,1 - 1,Rennes
484,21-08-2022,Rennes,2 - 1,Ajaccio
485,27-08-2022,Lens,2 - 1,Rennes
486,31-08-2022,Rennes,3 - 1,Brest
487,04-09-2022,Troyes,1 - 1,Rennes
488,11-09-2022,Rennes,5 - 0,Auxerre
489,18-09-2022,Marseille,1 - 1,Rennes
490,01-10-2022,Strasbourg,1 - 3,Rennes
491,09-10-2022,Rennes,3 - 0,Nantes
492,16-10-2022,Rennes,3 - 2,Lyon
493,23-10-2022,Angers,1 - 2,Rennes
494,30-10-2022,Rennes,3 - 0,Montpellier
495,06-11-2022,Lille,1 - 1,Rennes
496,12-11-2022,Rennes,2 - 1,Toulouse
497,29-12-2022,Reims,3 - 1,Rennes
498,02-01-2023,Rennes,2 - 1,Nice
499,11-01-2023,Clermont,2 - 1,Rennes
500,15-01-2023,Rennes,1 - 0,Paris SG
501,27-01-2023,Lorient,2 - 1,Rennes
502,01-02-2023,Rennes,3 - 0,Strasbourg
503,04-02-2023,Rennes,1 - 3,Lille
504,12-02-2023,Toulouse,3 - 1,Rennes
505,19-02-2023,Rennes,2 - 0,Clermont
506,26-02-2023,Nantes,0 - 1,Rennes
507,05-03-2023,Rennes,0 - 1,Marseille
508,11-03-2023,Auxerre,0 - 0,Rennes
509,19-03-2023,Paris SG,0 - 2,Rennes
510,01-04-2023,Rennes,0 - 1,Lens
511,09-04-2023,Lyon,? - ?,Rennes
512,06-08-2022,Strasbourg,1 - 2,Monaco
513,14-08-2022,Nice,1 - 1,Strasbourg
514,21-08-2022,Strasbourg,1 - 1,Reims
